State,Influenza A virus (lag 0w),Flu (lag 0w),Influenza (lag 0w),Type A influenza (lag 0w),Influenza A virus (lag 1w),Flu (lag 1w),Influenza (lag 1w),Type A influenza (lag 1w),Influenza A virus (lag 2w),Flu (lag 2w),Influenza (lag 2w),Type A influenza (lag 2w),Influenza A virus (lag 3w),Flu (lag 3w),Influenza (lag 3w),Type A influenza (lag 3w),Avg_Correlation
Virginia,0.6437846029301351,0.20840276484342599,0.2781723926253086,0.1989868110583861,0.6415649897707237,0.27076382501134794,0.3419161245367976,0.2264668992154834,0.6430870705755218,0.3370550301438145,0.40588769743554165,0.2537188292607699,0.6403613730456988,0.39491052315443925,0.4608910464431189,0.26503563153655274,0.3881878507241916
South Dakota,0.6104342957574158,0.2747705761565494,0.32500929304269144,0.250579935136021,0.5755952636008361,0.3083380371984725,0.3570624799021722,0.2833257984453606,0.5303201470444487,0.33184168305127876,0.3836034849936656,0.2739249050871126,0.4973779506463811,0.3611132447944453,0.4211718658607629,0.2720518446277072,0.37853255033408256
Rhode Island,0.628361555164517,0.2124358997193686,0.275271797649304,0.2549982779813464,0.6042759265019585,0.2631042557322826,0.32411176059217384,0.29083055571571204,0.5609670872251842,0.3010817832711018,0.363205532240196,0.3157126201035562,0.512735720396973,0.3315740489597926,0.3969461826548106,0.31929778612801607,0.3721819243772683
Kansas,0.6578364441226647,0.21069940317509303,0.2665765019057545,0.19877054032188918,0.6537376015180365,0.2502818949312567,0.30635961123905475,0.22784795148618922,0.6291332601821545,0.2725976443318145,0.33307057107729254,0.24108323148578828,0.588011771646101,0.28890927747531975,0.3553719413372281,0.2367775733256834,0.3573165762225825
US,0.6745635018134981,0.1582645503777286,0.2161882101021621,0.18408864684759518,0.6643043080840645,0.19623968840946274,0.25653665794262276,0.21551033116082807,0.6570424938202997,0.2586222882437863,0.32474778773663526,0.23383504479047584,0.6414535148478252,0.32750955235741347,0.3939883449481273,0.25508904905568996,0.35362399815863843
North Carolina,0.6435253274621318,0.167326945656659,0.22240109361686444,0.18359097780391914,0.6367160995751716,0.21253823136378697,0.2726783045785336,0.21381280417351584,0.6314050882013977,0.2769531185491649,0.33927476586049016,0.2571516956980877,0.6160488265773203,0.32759222290534545,0.3820270367467337,0.2697079135032685,0.35329690326702445
Georgia,0.6573977071709911,0.1274168579495614,0.1990636386810412,0.20236307602178374,0.6515811548430187,0.17672971205098226,0.25060802781882957,0.2335452578093385,0.6486725371252267,0.23100631033460178,0.30279526478565694,0.2712764456732893,0.645227755808951,0.2913316308296255,0.36493451029526525,0.2938019117795331,0.346734487436106
Texas,0.6682303209111894,0.148556923830006,0.20156259350242411,0.16507210238339357,0.6712307444994362,0.19333981106617296,0.24580571619258368,0.21830945667491175,0.6716875594813929,0.23906723970375618,0.294644663573825,0.24212143513649606,0.65435448239427,0.28888247146822665,0.34895429825501634,0.24798186125077673,0.3437376050202423
New Hampshire,0.5467459363887313,0.20662696369245062,0.2661053871531725,0.25518611184436063,0.5079686229968384,0.26331241964114266,0.3204961839750775,0.2738558633271548,0.46931059313829615,0.2977321304217141,0.36122942303955974,0.30482287210213904,0.421778099347924,0.31932875726196724,0.3832567777702343,0.29914090602971166,0.34355606550815465
New York,0.7019768946097866,0.1445339577663567,0.20273605695056032,0.17521277848816372,0.6810499928438853,0.18422995958758476,0.242046926746524,0.19772629001011288,0.6548064125505154,0.22032475648168715,0.2785408192364299,0.21602911966617275,0.6125165087624965,0.252854651081842,0.31586190970278527,0.2220627346295135,0.3314068605696511
Wisconsin,0.5909009056799963,0.2024087714078433,0.2501203519012477,0.15410332539823887,0.5598555289866909,0.24478498773710095,0.2912494807773448,0.17048688145342006,0.5199460822241251,0.271535109096639,0.3256323097199,0.18416752015566648,0.4699453608303751,0.2956985126323025,0.3444446303085723,0.1846450068810964,0.31624529782441
Minnesota,0.6190487075140272,0.15874537591056012,0.21648404575072575,0.17396459497669461,0.6016611180270903,0.19098233871170137,0.24860834568412638,0.19569075893861965,0.5731134833392494,0.2222882668040943,0.27955779597132646,0.21677337582099265,0.5319142975357561,0.2507064776529311,0.3157487594087033,0.2256741001479558,0.3138101151371596
Hawaii,0.51668970456511,0.2559672272574336,0.2981465320603728,0.1707032467874299,0.5064219795476985,0.2535808505207467,0.3026289171675323,0.1851518394333716,0.48017915837561764,0.25272402070736877,0.3002611210593818,0.17976159293062483,0.44256078145961286,0.2617548253453589,0.3123767904441508,0.17257182803871302,0.30571752598128277
Illinois,0.6297227136519588,0.1296563653761152,0.173021224534379,0.13296981622103016,0.6258483424965244,0.17158756009580067,0.2151253196310382,0.16288235271575968,0.6190361457430085,0.21900819855421455,0.2646733697198933,0.18290336432129956,0.5880818378165188,0.2620111995181318,0.3122748494906454,0.18639493540861707,0.30469984970593345
Alaska,0.3947651239637464,0.2723948416849042,0.32062852080440135,0.26979350263466906,0.3873210465661159,0.27102101288648006,0.3231158903140625,0.2619683588427232,0.3708461965266285,0.2567924502389751,0.31710109886341453,0.2537793690900609,0.3402174216513385,0.25179492097922607,0.31653264627412975,0.2417086348655878,0.303111314761654
South Carolina,0.6083272595144659,0.08318666246597857,0.1462096249177061,0.16364522302161033,0.6240942695441304,0.13133421425548653,0.19496393788454022,0.20804048408325165,0.6223405813555303,0.1791864132026345,0.24504228676198297,0.2408403279819594,0.6149985566582237,0.2304655084888074,0.2987909798967309,0.2553909564236614,0.30292858040354376
California,0.6562485256644466,0.13576945511606375,0.18204604742868044,0.1254054873149582,0.6557261268164264,0.16302277480217742,0.21037224175705593,0.14964394857237578,0.6442068686747884,0.18858615917270102,0.24124305268963117,0.15751338043689433,0.621717123995745,0.21335675209148863,0.27259333161885213,0.15088207069464743,0.2980208341779333
Delaware,0.5774030970352514,0.14788225517604986,0.1994969261821731,0.08393760107957467,0.5705628706112742,0.20167298013976775,0.2493462681521878,0.10000827775488372,0.5684061178019638,0.2552858572048504,0.3000163545038189,0.13134153281978314,0.5479087901938863,0.2789904227734095,0.31980304737745335,0.13492518856004107,0.2916867242103981
Connecticut,0.608822192154663,0.18784732620004493,0.23703434367164383,0.15200117155931395,0.5612790854142705,0.21039391890670947,0.2586903860294747,0.16832030835896944,0.5067420424622391,0.21847908073801894,0.27082954480592175,0.17131377209733586,0.43621444800366327,0.21720627638703416,0.2716852100445969,0.16297251989067216,0.28998947667028574
Maryland,0.6192390979563821,0.10705516540885743,0.15925265103711383,0.13270546570252226,0.6174040288032252,0.15103863933830414,0.19979282743121557,0.16229912092944754,0.5949065342341341,0.192151391726428,0.23850101286605097,0.16778306963009484,0.5596049914441646,0.2266675048554171,0.2797319489959009,0.16371012709696317,0.28574022359101386
Pennsylvania,0.6026055376531168,0.08948199551092609,0.14881388644609306,0.07782716213190857,0.6022915253585225,0.14179708716048647,0.20241109435787005,0.10518334817286573,0.5891912452309549,0.19810119592049374,0.2539900739501803,0.13534253191338472,0.5719244030693142,0.2482369247273366,0.3107865195133244,0.1533237856828514,0.27695676979997685
Washington,0.582024298163605,0.15607034387761592,0.20407668515778046,0.1551591941993637,0.5640335968833894,0.1695957421427678,0.21922942607091905,0.16289882707406012,0.5290889729973858,0.18401996905961024,0.23849475711636406,0.15409461251259995,0.48433596170458293,0.19709414890916072,0.2566033462603752,0.1429981719516799,0.27498862838007876
Missouri,0.5984694674596214,0.11459278697132409,0.1687138323829555,0.1381569549033805,0.5812248019429852,0.14513630747420816,0.20007373845649296,0.1583765444066273,0.555533942024901,0.17546814173645353,0.22670547830888707,0.16899376958924348,0.5215284784691928,0.20631012739948135,0.2650222623789357,0.1709996620384636,0.27470664349644713
Kentucky,0.5738222061109213,0.08861018800448758,0.13785629770012747,0.19669654698125366,0.5611213476157976,0.1275482500682037,0.17948207500659727,0.20249694668777035,0.5446829048996329,0.15908698775633293,0.21692912894262828,0.20573846538983503,0.5014002998376716,0.16764674706100588,0.22690973050172597,0.20820546921731506,0.26863959948633165
Vermont,0.4762631314413661,0.22917346700347355,0.2636066369872554,0.1026569518637932,0.41815533731831134,0.25096263486075415,0.2861939262331514,0.10747460005974346,0.35665686517829087,0.26517466292341274,0.29956414595998015,0.10541495122383468,0.2900756738986172,0.2637489476733321,0.29806435523413594,0.09777014854831965,0.25693477727548575
New Jersey,0.620514643468336,0.059765088359659754,0.11981020840662845,0.10231379702517651,0.6050513910250341,0.09528046693184813,0.1533865199873526,0.12600490368342898,0.588646003411825,0.13608127793579686,0.19424604310564308,0.15266931067278475,0.5556105057739263,0.17615492455811713,0.24004288696333712,0.1589484375760563,0.25528290055530944
Alabama,0.6129834959654985,0.06299443019588988,0.11461964440479823,0.08886016151856556,0.6150704184127391,0.09532005363290574,0.1479357745619651,0.11447345570114276,0.6204679610235377,0.1356211446207363,0.18843795964904128,0.13766267370431665,0.6135180651599422,0.1664228721004978,0.22218510354822268,0.14668671531320465,0.25520374559456277
Indiana,0.6018641030311289,0.08732559341273623,0.14363854905295653,0.10701016459787888,0.5859593654620657,0.11819545795987771,0.17584572098152187,0.13291068385237037,0.556094851186497,0.1408992646109984,0.19628513726481958,0.13585388218577893,0.521137950305777,0.15957566165983966,0.21931496804472794,0.14139783281783683,0.25145682415167575
Nebraska,0.517824701769594,0.10382705671272704,0.16461214405516544,0.1283421797047995,0.4947377097541686,0.13655075833390767,0.19394473612693217,0.15624255386598948,0.4629695179071447,0.16066251331102852,0.22310724147297356,0.16594215719701497,0.41766259849270604,0.18007354416135601,0.23995412190917076,0.15332312250996896,0.24373604108029046
Oregon,0.5331361177066654,0.1154171398616959,0.14920733429463298,0.14114111715323843,0.5171335683107028,0.12874557625509614,0.16394385459851343,0.16229985353261372,0.4957858511938318,0.13273550343271737,0.17585829723649898,0.16450574897198306,0.46756971414131226,0.14074432869430925,0.18987349061524128,0.16293150587765604,0.24006431261729433
Mississippi,0.556921373288984,0.029523783450716247,0.07745169287529688,0.09355702076089217,0.5768111149995071,0.07294711190179057,0.11937686179621299,0.14113222298499797,0.5826811531975769,0.11418983330573906,0.15992446985506148,0.15920029404508484,0.5832848082452677,0.164701004527054,0.21870618046635318,0.15563133353702968,0.2378775162023478
Michigan,0.5334734609374985,0.12058043766106102,0.15911332141763018,0.12470858659968496,0.4837118911624396,0.13911279933349155,0.1777411123248655,0.13078799486041232,0.4469756206643088,0.15814717910456338,0.1960946486357701,0.13197144288745205,0.4074193464746384,0.17075013530833552,0.2101651199097731,0.12831714426740054,0.23244189009683283
Arkansas,0.5489918613625837,0.06032478632419687,0.10861046394635382,0.0979591024718515,0.5236636386449685,0.08793086991939861,0.13912751927285594,0.1193653524965626,0.4935539391400996,0.12297547992258669,0.17404582889768036,0.11335156819395313,0.46110759831158754,0.16293167993188287,0.2187971334725068,0.12081506586832122,0.22209699301108685
Wyoming,0.6339246446404768,0.04745293970621255,0.10302475121839602,0.07231020297484927,0.6130126140036067,0.05959209407515145,0.11684115281180908,0.07674404012695801,0.5942750188565524,0.07325827988732422,0.13237744166662513,0.08480727580465222,0.5646197924601151,0.0836171503522275,0.15049902976086202,0.09386448520004063,0.2187638070966162
Iowa,0.5411538906082921,0.07696070782611339,0.1333289263127954,0.11895184559128553,0.506430016133965,0.09384698367258815,0.15021365124838393,0.13463580146040638,0.45695309841411264,0.10670469486290554,0.1675199740083776,0.13401794791211616,0.3996118395966276,0.12623970880801225,0.18563256111026177,0.1252215382460839,0.21608894911327045
Louisiana,0.5812811772382013,0.02497957480419688,0.07257732728104588,0.05942220544952035,0.5897229378948948,0.049864450569245766,0.09938686073202602,0.07619523177426682,0.5895363785884555,0.07483498530903784,0.12579658074641561,0.0903399322404035,0.5856249139955709,0.10459414830927198,0.1598648998642034,0.09285609340517426,0.21105485613762068
Massachusetts,0.58044382239267,0.060826901414746753,0.11736162693118822,0.06430124138253249,0.5406260388896014,0.07883094161263848,0.13590006571924695,0.07778369099955397,0.4944685375054389,0.09884019892228753,0.15950621389457187,0.0809525927725511,0.43701763677928396,0.11429478730482692,0.17727564646223123,0.07809247259288171,0.20603265097351572
Ohio,0.5790332999856208,0.024211584730424583,0.08104102502691633,0.06170991105548089,0.5684972444361471,0.05147545618729002,0.10811217633467377,0.08095345596256273,0.5419270245344154,0.08865558646088312,0.13962723053140638,0.0978077388143207,0.4982886367040391,0.1089095222526611,0.1640364734610119,0.09748948378456876,0.2057359906414014
Tennessee,0.5987732143645856,-0.005371033862029674,0.0468350555811599,0.07119808336985141,0.6016898606765139,0.024526117262019156,0.0753490570098193,0.09775314621306946,0.596701832408735,0.0476277044508472,0.09965681713571287,0.11324122918597988,0.57465869221407,0.07510076903351237,0.1287334505178334,0.11904530100752547,0.20409495603557534
Arizona,0.6166062789388622,0.02572011561104795,0.07512708599954775,0.0584812362516275,0.6188271884302348,0.031106254511710688,0.08196664449591783,0.07211951949117285,0.61950860813547,0.03493119586486264,0.09180123047012133,0.08737200062139544,0.6050375817708711,0.041686880334573746,0.10427767103850427,0.08009184821277959,0.20279133376116876
West Virginia,0.5394786333817283,0.045922898063212036,0.09541379356544166,0.06185390502779824,0.5084034778211173,0.0701745294875304,0.11627985609718106,0.0785542424857974,0.47466377463421405,0.08361134370567634,0.1327924939071544,0.08477084189686421,0.43374055809869305,0.09613225294973154,0.1489983254374389,0.08021292865106026,0.19068774095066496
Utah,0.417160689696365,0.10362317088184053,0.14150894763910538,0.036264218015133146,0.4109437785194549,0.12468407088741439,0.16001656986586432,0.054047987433521245,0.4063322508485562,0.14380384408282496,0.17951851219966902,0.0690810566536373,0.38254423772079704,0.14949439178193835,0.19223774886302522,0.054433022579382304,0.1891059061042831
Nevada,0.49890665413287427,0.026655924506722224,0.05953663622193462,0.03204707858391839,0.5018227125932855,0.0411228645709037,0.07466226125902095,0.05234325730436715,0.4902026075258051,0.05420152223206952,0.09451787768755512,0.060701246224891474,0.4670864117178465,0.07361449539859069,0.11989539581852399,0.05356083305311868,0.16880486117696425
Colorado,0.5371181198188477,-0.0023805783522718865,0.052880788160803924,0.04175791860381336,0.5166061413630503,0.00968463205910397,0.06358066090204641,0.056624954991723736,0.4985139368983827,0.0213027058984257,0.08004374538241738,0.0733165679467958,0.4640613719841211,0.03134572031809653,0.09658541253073465,0.06854659351352078,0.16309929325122574
Idaho,0.5205398425349219,0.015125564106245278,0.04923633469496229,-0.022842607905632376,0.5048709497167143,0.024003957317839365,0.060100892055726086,-0.004493975451870748,0.49251026010130755,0.03490797434837102,0.07605437440611006,0.0071997900081366,0.4709262234074657,0.030505047973001548,0.08082298653770219,0.017301532740853227,0.14729807166199088
Florida,0.6042274195358248,-0.05359639154954618,0.009255194391550849,-0.025170547308226113,0.5987550668742205,-0.04647450001453911,0.01543998144543865,-0.020760687675348853,0.5917203163153025,-0.035576665013060026,0.02888197364632212,-0.009584417347069586,0.5783665622189461,-0.013781417732974907,0.056405081859784975,-0.012730727457692971,0.1415860151368083
New Mexico,0.5222314482396164,-0.005488551340088646,0.030818214667272997,-0.008274875307238368,0.5041794463915159,0.004735110079011534,0.04246377993326419,0.003222335222713913,0.47193485622354514,0.013228172916480187,0.05504482673099949,0.007323403122131214,0.434358646222224,0.024865823638747425,0.06985465360923987,0.00589528882018114,0.136024536198101
Oklahoma,0.4763515752677487,0.025984146537807885,0.0612719037158567,0.01931721106853126,0.4295408911544375,0.035071145182477906,0.06716019760490964,0.03193287961386395,0.3759717995146177,0.03959938462985317,0.07161676121380658,0.04124568804645018,0.32365945087318126,0.04528433934355504,0.0819213210277526,0.030828127915064556,0.13479730141936966
North Dakota,0.4637476094242868,-0.02173893525732486,0.03259327088350127,0.011860782754040042,0.41769447010521943,-0.0008387789746041735,0.05036107570552657,0.022814793140909624,0.37625126374986884,0.02339948259243916,0.0665254306666264,0.025006937179219882,0.32700017797298153,0.02513319941033732,0.06637919095946687,0.022453115567537152,0.119290192867502
District of Columbia,0.402531131581944,-0.0005310724370925814,0.018335968647229167,-0.07044376436511086,0.3562242516761084,0.02077866880035747,0.028658666767885435,-0.06835339341331347,0.3641747904920139,0.061805618633447586,0.045714951327133484,-0.06744345033066232,0.35277407731880955,0.07640925254684934,0.06060144620656476,-0.06235292669137349,0.0949302635475494
Maine,0.35926029529127596,0.005992586248557027,0.03509671698614808,-0.02097599002166106,0.300559478587212,0.007593006948315339,0.035266487299864424,-0.007174221787730951,0.2445511991345808,0.011525660541736028,0.0410769392355538,-0.00821509876488721,0.1867210974561424,0.013886403274280947,0.04740260535417847,-0.02794938757605951,0.07653861113796916
Montana,0.42802730637527847,-0.054713604874392016,-0.009607527755819908,-0.07016914367208438,0.39162842714230617,-0.04845502638497703,-0.006865499728148455,-0.06885382284924707,0.3468389780777238,-0.05729924154536705,-0.012119787261725624,-0.06877709492570439,0.2947594755038841,-0.06485583956034782,-0.019715075229901527,-0.06947427616693971,0.056896765446533604
Puerto Rico,,,,,,,,,,,,,,,,,
